loss_ratio,throughput_Mbps,window_s,path_len,includes_s_bad,path_changed,isl_util_mean_path,isl_util_max_path,isl_util_std_path,isl_delta_mean_path,path_congestion_score,throughput_anomaly,loss_spike,zero_throughput,path_efficiency,path_anomaly_score,routing_instability,isl_congestion_level,isl_variance_ratio,bad_satellite_indicator,high_path_len_indicator,low_throughput_indicator,congestion_loss_interaction,path_util_interaction
0.95,1.2,5.0,4,0,1,0.35,0.80,0.25,0.01,2.5,0.15,1,0,0.20,3.8,1,2,1.14,0,0,1,2.375,1.4
0.96,1.3,5.0,4,0,0,0.36,0.81,0.26,0.02,2.6,0.18,1,0,0.20,3.84,0,2,1.12,0,0,1,2.496,1.44
0.94,1.1,5.0,5,0,1,0.38,0.85,0.28,0.03,2.8,0.12,1,0,0.17,4.7,1,2,1.35,0,1,1,2.632,1.9
0.97,0.9,5.0,6,0,1,0.42,0.90,0.32,0.05,3.2,-0.05,1,0,0.14,5.82,1,3,1.52,0,1,0,3.104,2.52
0.98,0.7,5.0,7,1,1,0.48,0.95,0.38,0.08,3.8,-0.22,1,0,0.13,6.86,1,3,1.79,1,1,0,3.724,3.36
0.99,0.5,5.0,8,1,1,0.55,0.98,0.42,0.12,4.5,-0.45,1,0,0.11,7.92,1,3,2.05,1,1,0,4.455,4.4
0.99,0.4,5.0,9,1,0,0.62,0.99,0.45,0.15,5.2,-0.68,1,0,0.10,8.91,0,3,2.24,1,1,0,5.148,5.58
0.98,0.3,5.0,8,1,1,0.58,0.96,0.40,0.10,4.8,-0.55,1,0,0.11,7.84,1,3,2.07,1,1,0,4.704,4.64
0.97,0.4,5.0,7,1,0,0.52,0.92,0.35,0.07,4.2,-0.38,1,0,0.13,6.79,0,3,1.86,1,1,0,4.074,3.64
0.96,0.5,5.0,6,0,1,0.45,0.88,0.30,0.04,3.5,-0.18,1,0,0.14,5.76,1,2,1.50,0,1,0,3.36,2.7
